system,seed,cpu_mode,cpu_affinity_core,selected_checkpoint_source,selected_episode,selected_success_rate,selected_override_rate,selected_safety_violation_rate,final_checkpoint_safe,train_seconds,training_peak_rss_mb,eval_success_rate,eval_override_rate,eval_safety_violation_rate,test_success_rate,test_override_rate,test_safety_violation_rate,test_mean_episode_steps,test_n_steps,policy_us_mean,policy_us_p99,shield_us_mean,shield_us_p99,total_us_mean,total_us_p99
thermostat,52,aggressive,,safe_eval,200,1.0,0.0016055704845442714,0.0,True,1297.9349954128265,230.80859375,1.0,0.0017950424557794317,0.0,1.0,0.0017223976516126643,0.0,539.945,107989,41.16571571178547,75.423,9.079523312559614,13.576,56.940201539045646,100.90307999999996
thermostat,53,aggressive,,safe_eval,700,1.0,0.0014903623236404585,0.0,True,1324.4994122982025,234.7734375,1.0,0.0018133269567989798,0.0,1.0,0.0017283567017516604,0.0,514.94,102988,29.039323144444012,46.889,6.461014778420787,10.47,39.98101923525071,64.06113
thermostat,54,aggressive,,safe_eval,100,1.0,0.0016461220427226094,0.0,True,1259.9941971302032,232.07421875,1.0,0.0016925454411656487,0.0,1.0,0.001832788587836393,0.0,491.055,98211,54.55769818044822,119.29089999999847,12.030085367219558,22.87799999999971,76.25675448778651,189.36799999999994
thermostat,55,aggressive,,safe_eval,500,1.0,0.00157466837826273,0.0,True,1245.9719893932343,234.6015625,1.0,0.0015760993292821743,0.0,1.0,0.0018122834771812483,0.0,499.37,99874,51.197794471033504,148.04297000000003,11.631174860324007,24.952830000000525,71.5656587299998,185.5874000000001
thermostat,56,aggressive,,safe_eval,1700,1.0,0.0016096649127665466,0.0,True,1309.67094039917,243.68359375,1.0,0.0015954112932327971,0.0,1.0,0.0017176396686427702,0.0,509.42,101884,33.731687782183656,50.266699999999986,7.519910977189745,11.032529999999985,46.61543482784342,68.61339999999997
thermostat,57,aggressive,,safe_eval,2000,1.0,0.0016088697689872864,0.0,True,1316.6477239131927,237.23828125,1.0,0.0017480566816677205,0.0,1.0,0.0018459775724334016,0.0,471.295,94259,30.12172913992298,47.5,6.862271793674874,11.031,41.69426872765465,65.575
thermostat,58,aggressive,,safe_eval,1700,1.0,0.001458847670653115,0.0,True,1276.0194733142853,250.91015625,1.0,0.0018402572129621794,0.0,1.0,0.0018035314308985659,0.0,515.655,103131,44.856418681094915,69.96929999999996,9.873883487991002,14.197,62.19407371207493,96.59029999999997
thermostat,59,aggressive,,safe_eval,300,1.0,0.001578288243468117,0.0,True,1266.8086726665497,243.80078125,1.0,0.001811741714844068,0.0,1.0,0.0017523421668347219,0.0,510.745,102149,49.859825490215265,73.85520000000004,10.526188577470167,15.369,68.91355686301382,153.79232000000016
thermostat,60,aggressive,,safe_eval,1000,1.0,0.0018492274722615879,0.0,True,1003.3554985523224,239.4296875,1.0,0.0020161290322580645,0.0,1.0,0.0017733381056193667,0.0,614.66,122932,49.85932701005434,140.73429000000033,11.483928025249732,16.177900000000022,69.56074260566817,191.60090000000002
thermostat,61,aggressive,,safe_eval,1200,1.0,0.0015733990664498873,0.0,True,1286.4797613620758,236.859375,1.0,0.0017915082508907778,0.0,1.0,0.0016712626389237069,0.0,538.515,107703,38.84236850412709,60.615,8.931898303668422,12.974,54.018812725736524,83.73879999999997
thermostat,62,aggressive,,safe_eval,1600,1.0,0.0016416259234145819,0.0,True,1339.5495381355286,236.25,1.0,0.0016881119405784597,0.0,1.0,0.0017061284496918986,0.0,550.955,110191,26.791653483496845,33.06400000000006,5.974338820774837,7.845,36.8671923478324,44.845
thermostat,63,aggressive,,safe_eval,300,1.0,0.001582553314677217,0.0,True,1232.3939135074615,232.3359375,1.0,0.0016569555717407137,0.0,1.0,0.001812236536264429,0.0,507.66,101532,50.32395636843556,146.76040000000015,11.80179655675058,19.904910000000093,70.48814364929285,187.796
thermostat,64,aggressive,,safe_eval,1200,1.0,0.001658622039173298,0.0,True,1261.6392905712128,253.21875,1.0,0.001845787436737124,0.0,1.0,0.00184288174338627,0.0,496.505,99301,54.98492014179113,119.777,11.94904456148478,25.458,76.55690470388014,189.63
thermostat,65,aggressive,,safe_eval,1300,1.0,0.001626539403363898,0.0,True,1321.6537683010101,234.1171875,1.0,0.002018914036765487,0.0,1.0,0.0017489612522949077,0.0,517.45,103490,29.82622321963475,47.24099000000001,6.64219910136245,10.6,41.12186980384578,64.782
thermostat,66,aggressive,,safe_eval,700,1.0,0.0015430050438014335,0.0,True,1245.0405488014221,236.875,1.0,0.0017962996227770792,0.0,1.0,0.0017017281342604819,0.0,511.245,102249,54.02743513383994,155.19680000000056,12.317490215063229,26.56252000000041,75.61608020616339,199.50928000000016
thermostat,67,aggressive,,safe_eval,2000,1.0,0.0015714664076984196,0.0,True,1298.5165402889252,229.73046875,1.0,0.0016712887289022755,0.0,1.0,0.0017053303482113084,0.0,524.825,104965,39.8046025055971,73.70360000000001,8.769943933692183,13.315,55.0188891344734,99.208
thermostat,68,aggressive,,safe_eval,100,1.0,0.0015688523760522277,0.0,True,1322.5148282051086,255.125,1.0,0.0018583827846176588,0.0,1.0,0.0017616758899335542,0.0,522.23,104446,29.85701506998832,47.24,6.850015912528961,10.851,41.4019535357984,64.94850000000002
