system,seed,selected_checkpoint_source,selected_episode,selected_success_rate,selected_override_rate,selected_safety_violation_rate,final_checkpoint_safe,train_seconds,training_peak_rss_mb,eval_success_rate,eval_override_rate,eval_safety_violation_rate,test_success_rate,test_override_rate,test_safety_violation_rate,test_mean_episode_steps,test_n_steps,policy_us_mean,policy_us_p99,shield_us_mean,shield_us_p99,total_us_mean,total_us_p99
thermostat,42,safe_eval,500,1.0,0.0015961545517924633,0.0,True,694.4656202793121,236.21875,1.0,0.0018030570011883784,0.0,1.0,0.0017543859649122807,0.0,530.1,106020,27.136407281644967,37.18,6.0651809564233155,8.335,37.452159337860785,50.906
cruise,42,safe_eval,1200,1.0,0.021953896816684963,0.0,True,65.40144848823547,94.125,1.0,0.024096385542168676,0.0,1.0,0.022560631697687534,0.0,44.325,8865,26.275135927805973,35.53940000000005,8.026133558939648,16.672,38.48543711223915,51.65420000000001
mixing,42,safe_eval,100,1.0,0.168130869433505,0.0,True,66.58913373947144,97.0546875,1.0,0.1732330827067669,0.0,1.0,0.18576163712350482,0.0,34.695,6939,29.065152759763656,39.2964,11.716010664360859,36.5152,45.53779694480473,73.89922
