system,ic3_proven,ic3_failed,ic3_runtime_ms,ic3_peak_mb,bmc_proven,bmc_failed,bmc_runtime_ms,bmc_peak_mb
thermostat,3,0,103,40.0,3,0,10,36.0
cruise,5,0,102,41.9,5,0,13,36.1
mixing,1,0,4204,90.2,1,0,160,49.8
TOTAL,9,0,,,9,0,,
