system,seed,episodes,total_steps,success_rate,safety_violation_rate,override_rate,final_checkpoint_safe,policy_us_mean,policy_us_p95,policy_us_p99,shield_us_mean,shield_us_p95,shield_us_p99,total_us_mean,total_us_p95,total_us_p99,inference_peak_rss_mb,eval_seconds,test_seconds
thermostat,42,200,106020,1.0,0.0,0.0017543859649122807,True,26.536168873797404,28.604,35.86528999999997,5.874873721939257,6.483,8.166,36.585758677608,39.795,49.604,99.1875,4.920038223266602,11.193546772003174
cruise,42,200,8865,1.0,0.0,0.022560631697687534,True,26.29509193457417,29.150999999999986,31.807200000000012,7.875682233502538,8.927,16.164240000000007,38.34627399887197,44.364,46.77620000000001,77.5859375,0.6062595844268799,1.2252178192138672
mixing,42,200,6939,1.0,0.0,0.18576163712350482,True,27.14089551808618,30.99109999999998,39.0126,11.250177258971036,33.074,35.21621999999999,42.93299985588702,64.8221,71.75182,81.27734375,1.1096079349517822,2.2165422439575195
