system,seed,cpu_mode,cpu_affinity_core,episodes,total_steps,success_rate,safety_violation_rate,override_rate,final_checkpoint_safe,policy_us_mean,policy_us_p95,policy_us_p99,shield_us_mean,shield_us_p95,shield_us_p99,total_us_mean,total_us_p95,total_us_p99,inference_peak_rss_mb,eval_seconds,test_seconds
thermostat,42,aggressive,,200,106020,1.0,0.0,0.0017543859649122807,True,49.75702920203734,53.391,57.98,11.34810644218072,11.823,13.874289999999979,69.02014207696661,73.369,82.045,99.96875,9.652728080749512,20.95898938179016
thermostat,43,aggressive,,200,108206,1.0,0.0,0.0016542520747463171,True,53.597810601999896,58.24,73.17794999999994,12.072771898046321,12.614,15.018,74.25263591667743,80.062,101.16994999999987,99.54296875,10.602404832839966,22.97446632385254
thermostat,44,aggressive,,200,100500,1.0,0.0,0.0018706467661691543,True,53.99799769154229,57.509,67.26720999999989,12.189048527363186,12.614,15.089,74.7831512238806,78.83,95.29010999999994,97.34375,10.033054113388062,21.40916132926941
thermostat,45,aggressive,,200,100569,1.0,0.0,0.0017301554156847537,True,50.36231496783302,54.523,61.2587999999997,11.469716861060567,12.334,14.076,69.83275934930248,75.393,87.44887999999993,98.91796875,11.460721731185913,20.235823154449463
thermostat,46,aggressive,,200,103109,1.0,0.0,0.0016681376019552125,True,53.674211649807475,57.539,67.14792,12.077417655102852,12.584,14.978,74.31805668758305,78.96,94.669,96.21484375,10.166885614395142,21.9049654006958
thermostat,47,aggressive,,200,104788,1.0,0.0,0.001727297018742604,True,53.7373277856243,58.17,73.79260000000009,12.181223537046227,12.754,15.249,74.56598638202848,80.24849999999994,101.83430000000004,98.80859375,11.637038707733154,22.234532356262207
thermostat,48,aggressive,,200,103250,1.0,0.0,0.001801452784503632,True,50.16498571428572,54.012,61.25109999999995,11.393686702179176,12.103,14.016,69.55210821307507,74.441,86.714,97.60546875,10.453773736953735,20.62262725830078
thermostat,49,aggressive,,200,102019,1.0,0.0,0.0017643772238504591,True,52.36137782177829,56.287,59.062,11.968786814220882,12.623,14.708,72.60550906203747,77.537,82.496,97.19140625,9.139244794845581,21.17632007598877
thermostat,50,aggressive,,200,97858,1.0,0.0,0.0017985243924870731,True,51.673642073208114,56.287,62.09172999999993,11.770819033701894,12.494,14.451869999999937,71.70952367716488,77.567,87.86459999999985,97.04296875,10.568458080291748,20.057936668395996
thermostat,51,aggressive,,200,99849,1.0,0.0,0.0018427826017286101,True,50.210436318841445,53.642,58.05520000000004,11.319739676912137,11.732,13.851680000000036,69.53335438512154,73.56,82.296,99.0546875,10.143670082092285,19.963481903076172
thermostat,52,aggressive,,200,107989,1.0,0.0,0.0017223976516126643,True,50.157237792738144,53.932,61.066,11.406110927964884,11.982,13.988079999999957,69.59010144551759,74.29,87.22979999999981,100.37890625,9.70718765258789,21.552854299545288
thermostat,53,aggressive,,200,102988,1.0,0.0,0.0017283567017516604,True,53.50317504952033,57.368,64.98560000000009,12.093342923447393,12.584,14.929,74.07100824367888,78.609,91.183,98.1875,10.511042833328247,21.8231942653656
thermostat,54,aggressive,,200,98211,1.0,0.0,0.001832788587836393,True,53.80344755679099,57.629,67.74889999999999,12.354670637708606,12.844,15.218,74.72510870472757,79.33,95.82989999999987,97.31640625,11.298573732376099,20.983222723007202
thermostat,55,aggressive,,200,99874,1.0,0.0,0.0018122834771812483,True,50.253964254961254,53.832,62.40827,11.394209704227327,11.853,14.037,69.71027817049482,73.99,89.43243000000004,98.8515625,11.62256145477295,19.963146924972534
thermostat,56,aggressive,,200,101884,1.0,0.0,0.0017176396686427702,True,52.89226048250953,57.589,64.653,11.911917307918808,12.594,14.729529999999984,73.21945203368536,78.999,91.19726999999995,97.5078125,11.245633125305176,21.18629550933838
thermostat,57,aggressive,,200,94259,1.0,0.0,0.0018459775724334016,True,50.025135159507315,53.331,57.503199999999985,11.298529986526486,11.733,13.810779999999985,69.27770695636491,73.168,80.873,98.2734375,10.585041284561157,18.74891185760498
thermostat,58,aggressive,,200,103131,1.0,0.0,0.0018035314308985659,True,49.948453937225466,53.361,57.8797,11.311450116841689,11.772,13.766,69.1678566968225,73.269,82.21229999999997,96.99609375,10.138007640838623,20.45430636405945
thermostat,59,aggressive,,200,102149,1.0,0.0,0.0017523421668347219,True,53.60719328627789,57.349,67.027,12.275632311623221,12.784,15.038,74.37384658684863,78.789,94.37368000000004,98.4453125,10.520184993743896,21.682300090789795
thermostat,60,aggressive,,200,122932,1.0,0.0,0.0017733381056193667,True,50.980740596427296,57.80404999999997,73.76311000000005,11.326785060033192,12.313,14.017,70.42478455568933,79.451,101.69301000000007,101.18359375,10.67733383178711,24.906606435775757
thermostat,61,aggressive,,200,107703,1.0,0.0,0.0016712626389237069,True,53.6773114026536,58.19,71.98697999999999,12.129029507070367,12.674,15.098,74.39420365263734,80.132,100.37959999999991,98.625,10.796570539474487,22.956106185913086
thermostat,62,aggressive,,200,110191,1.0,0.0,0.0017061284496918986,True,50.47928980588251,54.774,66.566,11.401944060767214,12.143,13.986,69.94888562586782,75.58850000000001,93.79200000000023,100.42578125,10.440911293029785,22.03578472137451
thermostat,63,aggressive,,200,101532,1.0,0.0,0.001812236536264429,True,53.79900237363591,57.594049999999974,69.33480000000004,12.127946332190838,12.583,14.958,74.55002032856638,79.069,96.29269000000001,97.09375,11.010202407836914,21.72921347618103
thermostat,64,aggressive,,200,99301,1.0,0.0,0.00184288174338627,True,53.556522492220616,57.239,64.783,12.154214086464386,12.613,15.029,74.23519654384145,78.519,91.674,97.9375,10.354296922683716,21.063944101333618
thermostat,65,aggressive,,200,103490,1.0,0.0,0.0017489612522949077,True,53.832631877476075,58.02,66.416,12.238675369600927,12.824,15.038,74.67207105034304,79.781,94.70120000000001,96.6875,10.02182912826538,21.898083925247192
thermostat,66,aggressive,,200,102249,1.0,0.0,0.0017017281342604819,True,49.86547191659575,53.331,57.87,11.405620905827927,11.932,13.937,69.19313706735518,73.409,82.10020000000004,99.3515625,9.912071943283081,20.23604464530945
thermostat,67,aggressive,,200,104965,1.0,0.0,0.0017053303482113084,True,52.33762548468536,57.829,72.597,11.87204646310675,12.754,14.698,72.58723726003906,79.811,101.22640000000003,98.015625,11.682681560516357,21.792876958847046
thermostat,68,aggressive,,200,104446,1.0,0.0,0.0017616758899335542,True,50.08638441874271,53.461,58.43650000000003,11.361434300978495,11.822,13.83150000000003,69.40325573023382,73.359,82.34150000000002,98.984375,9.367537260055542,20.81820249557495
thermostat,69,aggressive,,200,100380,1.0,0.0,0.0017832237497509465,True,50.01191221358836,53.371,58.55309999999992,11.231227435744174,11.833,13.716,69.13484919306634,73.228,82.28150999999976,96.515625,10.663229942321777,19.900790452957153
thermostat,70,aggressive,,200,94072,1.0,0.0,0.001849647078833234,True,53.824625,57.408,66.36079999999987,12.24095258950591,12.704,15.138,74.60036185049749,78.739,93.21628999999999,99.7109375,11.387320041656494,20.05614447593689
thermostat,71,aggressive,,200,106484,1.0,0.0,0.0016810037188685625,True,53.14836548213815,58.33,71.24009999999994,11.900095939296046,12.583,14.699529999999985,73.53475009391082,80.102,98.84869999999998,98.85546875,10.93441390991211,22.361714601516724
cruise,42,aggressive,,200,8865,1.0,0.0,0.022560631697687534,True,51.29268505358151,56.43499999999999,120.04392000000045,15.515475239706712,16.451,31.179800000000018,75.07620203045686,88.41579999999999,152.62700000000004,77.9609375,1.2480416297912598,2.4089505672454834
cruise,43,aggressive,,200,8295,1.0,0.0,0.024110910186859555,True,51.24972441229656,56.853999999999985,75.22739999999988,15.956510548523207,17.098699999999987,32.09159999999999,75.34217757685352,89.06799999999997,152.3006599999999,77.46875,1.3341779708862305,2.2440133094787598
cruise,44,aggressive,,200,8895,1.0,0.0,0.022484541877459248,True,55.77936222596965,61.10129999999998,73.2515999999999,16.900503991006183,17.633,34.215,81.69311950534008,94.569,118.89025999999978,76.83984375,1.4010934829711914,2.621788740158081
